,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,State
1909,2022-07-03,2,40000,850,2 out of 4,Carpet Area,"Amar Colony, Lajpat Nagar",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,3
2029,2022-07-03,2,22000,800,3 out of 3,Super Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
372,2022-07-03,3,35000,1330,1 out of 3,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent,2
376,2022-07-03,2,7000,850,Ground out of 3,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1
379,2022-07-03,4,40000,1500,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors,2,Contact Agent,3
389,2022-07-03,2,10000,700,1 out of 1,Carpet Area,Baghajatin,Kolkata,Furnished,Bachelors,2,Contact Owner,1
52,2022-07-03,2,5000,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
438,2022-07-03,1,5000,450,1 out of 1,Carpet Area,"Bansdroni Mauza, Krishnanagar",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
2441,2022-07-03,2,12000,500,1 out of 4,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent,1
497,2022-07-03,2,10000,850,1 out of 4,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors,2,Contact Owner,1
871,2022-07-03,1,40000,444,8 out of 11,Carpet Area,Sakinaka Junction,Mumbai,Unfurnished,Bachelors,2,Contact Agent,3
3330,2022-07-03,3,25000,919,8 out of 13,Carpet Area,"Rajendra Nagar, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
3,2022-07-04,2,10000,800,1 out of 2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
648,2022-07-04,1,22000,433,2 out of 7,Carpet Area,"Highway Park Apartment, Kandivali East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,1
645,2022-07-04,1,25000,380,3 out of 4,Carpet Area,Irla,Mumbai,Furnished,Bachelors/Family,1,Contact Agent,2
1219,2022-07-04,2,32900,1200,3 out of 6,Carpet Area,Marathahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,2
1347,2022-07-04,2,15000,800,1 out of 5,Super Area,whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
3682,2022-07-04,2,10000,103,Ground out of 1,Super Area,Sainikpuri,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,1
1352,2022-07-04,2,16500,1200,2 out of 3,Super Area,Padmanabha Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1258,2022-07-04,1,10000,450,3 out of 4,Carpet Area,"Malleshpalya, Kaggadasapura",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1386,2022-07-04,1,7000,500,2 out of 4,Super Area,Bilekahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1259,2022-07-04,1,15000,600,5 out of 5,Carpet Area,Mahadevapura,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,1
1020,2022-07-04,2,29000,670,7 out of 7,Carpet Area,Amar Nagar,Mumbai,Unfurnished,Family,2,Contact Owner,2
817,2022-07-04,1,27000,472,13 out of 14,Carpet Area,"Marathon Embryo, Bhandup West",Mumbai,Furnished,Bachelors,2,Contact Owner,2
1387,2022-07-04,2,10000,850,2 out of 3,Super Area,"Jyothi Nagar, Dooravani Nagar",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1140,2022-07-04,2,8500,600,1 out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
1496,2022-07-04,1,5000,500,1 out of 2,Super Area,Vidyaranyapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1552,2022-07-04,2,19000,800,1 out of 4,Super Area,whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2
840,2022-07-04,1,6000,200,Ground out of 5,Super Area,"Sonal Apartment, Bhandari Compound",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,1
973,2022-07-04,1,26000,390,Upper Basement out of 7,Carpet Area,"Greenfields CHS, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,1
1512,2022-07-04,1,10000,300,2 out of 3,Super Area,CV Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1508,2022-07-04,2,15000,800,2 out of 4,Super Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1336,2022-07-04,1,15000,600,3 out of 5,Carpet Area,Mahadevapura,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,1
1414,2022-07-04,2,15000,850,Ground out of 3,Super Area,Horamavu,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1484,2022-07-04,2,18000,1000,2 out of 3,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Furnished,Bachelors,2,Contact Agent,2
1483,2022-07-04,3,22000,1500,2 out of 4,Super Area,Kanakapura Road,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
1465,2022-07-04,3,21500,1320,3 out of 4,Super Area,Bommasandra,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1124,2022-07-04,2,15000,1200,1 out of 2,Super Area,Medahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1453,2022-07-04,2,6000,600,2 out of 3,Super Area,Chikkabanavara,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
757,2022-07-04,1,55000,500,1 out of 7,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,3
1039,2022-07-04,1,22000,500,3 out of 4,Super Area,"Madhugiri Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
1153,2022-07-04,2,27000,1000,4 out of 4,Carpet Area,"Hbr Layout Block 4, HBR Layout",Bangalore,Furnished,Bachelors,2,Contact Agent,2
1068,2022-07-04,2,13000,1000,Ground out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
731,2022-07-04,2,17000,1000,3 out of 7,Super Area,"holy complex ,Mira Road, Mumbai",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,2
1416,2022-07-04,2,17000,900,4 out of 5,Super Area,Bhuvaneswari Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
715,2022-07-04,1,30000,550,2 out of 4,Super Area,"Jumbo Darshan , Andheri East",Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
1415,2022-07-04,2,27000,1200,2 out of 5,Super Area,"Hennur, Hennur Bagalur Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3
1135,2022-07-04,2,20000,1105,1 out of 4,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2051,2022-07-04,2,45000,1000,2 out of 3,Super Area,"Kailash Colony, Greater Kailash",Delhi,Furnished,Bachelors/Family,2,Contact Owner,3
1799,2022-07-04,2,7500,600,Ground out of 2,Super Area,K R Puram,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1538,2022-07-04,3,55000,2430,4 out of 5,Super Area,Halasuru,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,3
1136,2022-07-04,3,24000,1430,3 out of 4,Super Area,Subramanyapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1551,2022-07-04,2,32000,1000,1 out of 5,Super Area,Guttahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
431,2022-07-04,2,23000,1100,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Owner,2
2875,2022-07-04,2,14000,1065,1 out of 2,Super Area,Madipakkam,Chennai,Furnished,Family,2,Contact Owner,1
274,2022-07-04,4,30000,4000,Ground out of 3,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Furnished,Bachelors/Family,3,Contact Agent,2
1800,2022-07-04,1,15000,600,5 out of 5,Carpet Area,"A Narayanapura, Mahadevapura",Bangalore,Furnished,Bachelors/Family,1,Contact Agent,1
159,2022-07-04,2,9500,700,1 out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
2063,2022-07-04,2,7500,450,Ground out of 2,Super Area,Burari,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
561,2022-07-04,1,24000,424,16 out of 23,Carpet Area,"Sethia Kalpavruksh Heights, Irani Wada",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2
3449,2022-07-04,3,26000,1800,2 out of 4,Carpet Area,filmnagar. hydrabad,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,2
2114,2022-07-04,4,42000,2700,2 out of 4,Carpet Area,"Pushpanjali, Anand Vihar",Delhi,Furnished,Bachelors,4,Contact Agent,3
1770,2022-07-04,2,12000,700,1 out of 4,Super Area,Bagalur,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
2424,2022-07-04,3,40000,180,Ground out of 4,Carpet Area,Janakpuri,Delhi,Unfurnished,Bachelors,3,Contact Agent,2
2417,2022-07-04,1,5000,300,Ground out of 4,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Agent,1
2415,2022-07-04,2,27000,1300,Ground out of 2,Carpet Area,Aya Nagar Extension,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
3465,2022-07-04,1,14000,700,5 out of 5,Carpet Area,"Chanda Naik Nagar, Madhapur",Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,2
2088,2022-07-04,2,18000,90,2 out of 4,Super Area,Mansarovar garden,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
1684,2022-07-04,1,13900,600,1 out of 4,Carpet Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,Furnished,Bachelors/Family,1,Contact Agent,1
2159,2022-07-04,4,36000,2700,2 out of 3,Carpet Area,"AGCR Enclave, Anand Vihar",Delhi,Furnished,Bachelors/Family,3,Contact Agent,2
2048,2022-07-04,3,10500,1200,1 out of 4,Super Area,Najafgarh,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2163,2022-07-04,3,30000,1800,2 out of 3,Carpet Area,Surajmal Vihar,Delhi,Furnished,Bachelors/Family,3,Contact Agent,2
148,2022-07-04,3,20000,1100,Ground out of 2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,3
2024,2022-07-04,3,45000,713,1 out of 1,Carpet Area,"Prem Nagar, Patel Nagar",Delhi,Furnished,Bachelors/Family,3,Contact Owner,3
390,2022-07-04,2,22000,1200,1 out of 2,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,2
1912,2022-07-04,1,9000,450,1 out of 4,Carpet Area,Sudarshan Park,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
105,2022-07-04,2,14000,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
2622,2022-07-04,2,12000,1100,Ground out of 1,Carpet Area,New Perungalathur,Chennai,Furnished,Family,1,Contact Owner,1
1980,2022-07-04,2,15500,900,Ground out of 3,Carpet Area,Vivek Vihar Phase 2,Delhi,Furnished,Bachelors/Family,2,Contact Agent,2
2045,2022-07-04,1,16000,500,1 out of 4,Super Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2
392,2022-07-04,3,35000,1200,Ground out of 3,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors/Family,3,Contact Agent,1
3067,2022-07-04,2,12000,826,1 out of 2,Super Area,Medavakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
2280,2022-07-04,3,30000,1100,3 out of 3,Carpet Area,Dwarka Sector 9,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
2077,2022-07-04,2,12000,1000,3 out of 4,Super Area,Uttam Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
1875,2022-07-04,2,10000,1100,Ground out of 3,Super Area,Chikkabanavara,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
2873,2022-07-04,1,6300,360,Ground out of 1,Super Area,"Erukkancheri, Kodungaiyur West",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
1870,2022-07-04,1,11000,600,4 out of 5,Carpet Area,Mahadevapura,Bangalore,Furnished,Bachelors/Family,1,Contact Agent,1
1843,2022-07-04,3,26000,1350,2 out of 5,Carpet Area,Mahadevapura,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,2
1996,2022-07-04,2,12000,700,Ground out of 4,Super Area,Sultanpur,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
2804,2022-07-04,2,26000,1300,1 out of 3,Carpet Area,"Chetpet, PH Road",Chennai,Furnished,Bachelors,2,Contact Agent,2
2071,2022-07-04,2,12000,68,3 out of 5,Super Area,Uttam Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
2711,2022-07-04,3,20000,1650,1 out of 1,Carpet Area,Madipakkam,Chennai,Furnished,Bachelors,3,Contact Owner,3
1871,2022-07-04,3,18000,1600,2 out of 4,Super Area,"Vimanapura, Airport Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1661,2022-07-04,2,14000,700,1 out of 2,Super Area,C V Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
1678,2022-07-04,3,21000,1250,Ground out of 1,Super Area,Margondanahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2222,2022-07-04,3,15000,100,3 out of 4,Super Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
1824,2022-07-04,2,22000,1200,3 out of 5,Carpet Area,Mahadevapura,Bangalore,Furnished,Bachelors/Family,2,Contact Agent,2
1985,2022-07-04,2,28000,80,1 out of 5,Super Area,Janakpuri,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
2234,2022-07-04,2,45000,1650,2 out of 4,Carpet Area,Safdarjung Enclave,Delhi,Furnished,Bachelors,2,Contact Agent,3
1677,2022-07-04,1,6000,600,1 out of 4,Super Area,Begur,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1676,2022-07-04,1,8000,600,2 out of 4,Super Area,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1675,2022-07-04,1,10000,600,3 out of 4,Super Area,"State Bank Of India Colony, Hegganahalli",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2229,2022-07-04,2,7500,400,2 out of 3,Carpet Area,Aya Nagar,Delhi,Furnished,Bachelors,1,Contact Owner,1
2206,2022-07-04,2,16500,90,4 out of 5,Super Area,DS 19,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
2837,2022-07-04,1,5700,450,Ground out of 1,Carpet Area,Anakaputhur,Chennai,Furnished,Family,1,Contact Owner,1
2254,2022-07-04,3,35000,150,1 out of 3,Carpet Area,Janakpuri,Delhi,Furnished,Bachelors,3,Contact Agent,2
1731,2022-07-04,2,12000,1100,1 out of 3,Super Area,Arakere,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2252,2022-07-04,3,50000,1100,1 out of 4,Carpet Area,Shalimar bagh,Delhi,Unfurnished,Bachelors,3,Contact Agent,3
2382,2022-07-04,2,19000,1800,1 out of 2,Carpet Area,"Naveen Shahdara, Shahdara",Delhi,Unfurnished,Bachelors,1,Contact Owner,2
611,2022-07-05,2,55000,720,8 out of 20,Carpet Area,Chembur East,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
3546,2022-07-05,2,12000,780,3 out of 3,Carpet Area,Sri BALAJI CLASSIC BHAVANI NAGAR RD NO 5,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,2
2447,2022-07-05,2,12500,500,2 out of 4,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent,1
2522,2022-07-05,1,6000,700,1 out of 2,Super Area,Pachaiyamman Nagar,Chennai,Furnished,Bachelors/Family,1,Contact Owner,1
3863,2022-07-05,3,42000,2671,2 out of 14,Carpet Area,Whitefields,Hyderabad,Furnished,Family,3,Contact Owner,3
1612,2022-07-05,3,21000,1360,1 out of 4,Super Area,whitefield,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1670,2022-07-05,1,10000,800,1 out of 1,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
2569,2022-07-05,3,50000,1600,2 out of 3,Carpet Area,"Adyar, Sardar Patel Road",Chennai,Furnished,Bachelors,3,Contact Agent,3
2496,2022-07-05,3,45000,1800,2 out of 4,Carpet Area,Royapettah,Chennai,Unfurnished,Bachelors,3,Contact Agent,3
4064,2022-07-05,1,7000,650,3 out of 3,Super Area,Karmanghat,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,3
3269,2022-07-05,2,9500,640,Ground out of 1,Carpet Area,Mogappair West,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
3319,2022-07-05,3,23382,1500,1 out of 1,Super Area,"Alkapur Township, Manikonda, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,1
3388,2022-07-05,2,12000,1100,2 out of 2,Super Area,"Balapur X road,Triveni nagar",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
1963,2022-07-05,3,35000,1300,3 out of 4,Carpet Area,Dakshini Pitampura,Delhi,Furnished,Bachelors,3,Contact Agent,2
3457,2022-07-05,2,22000,1200,4 out of 8,Super Area,Gachibowli,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
1852,2022-07-05,2,15000,1200,1 out of 1,Carpet Area,Varthur,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
4009,2022-07-05,3,20000,1800,2 out of 2,Carpet Area,Manigunda,Hyderabad,Furnished,Bachelors/Family,4,Contact Owner,2
2805,2022-07-05,3,20000,1350,Ground out of 1,Super Area,Thalambur,Chennai,Furnished,Bachelors,3,Contact Owner,2
2385,2022-07-05,3,42000,1700,2 out of 4,Carpet Area,Pitampura,Delhi,Furnished,Bachelors,3,Contact Agent,3
3163,2022-07-05,2,12000,939,3 out of 4,Super Area,New Perungalathur,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
1397,2022-07-05,2,16500,1050,Ground out of 2,Super Area,Vidyaranyapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2560,2022-07-05,2,12000,870,2 out of 2,Carpet Area,Ambattur,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
2389,2022-07-05,3,40000,1350,2 out of 3,Carpet Area,Safdarjung Enclave,Delhi,Furnished,Bachelors,3,Contact Agent,3
1411,2022-07-05,2,18500,1080,3 out of 12,Carpet Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2598,2022-07-05,2,10000,910,Ground out of 1,Super Area,Mannivakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
3086,2022-07-05,1,8000,550,2 out of 2,Super Area,"Padur, Old Mahabalipuram Road",Chennai,Furnished,Bachelors/Family,1,Contact Owner,1
3670,2022-07-05,2,9500,650,3 out of 5,Carpet Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
3922,2022-07-05,3,22000,1800,1 out of 2,Carpet Area,Old Bowenpally,Hyderabad,Furnished,Family,3,Contact Owner,2
2387,2022-07-05,3,44000,1700,3 out of 4,Carpet Area,Pitampura,Delhi,Furnished,Bachelors,3,Contact Agent,3
1516,2022-07-05,3,30000,1500,1 out of 1,Super Area,Ulsoor Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
3355,2022-07-05,2,13000,1200,2 out of 5,Super Area,Nacharam,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
3473,2022-07-05,3,22000,3000,3 out of 5,Carpet Area,sri sai arcade madinaguda,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3
821,2022-07-05,1,35000,350,2 out of 3,Super Area,Dadar West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,1
3836,2022-07-05,2,7000,800,Ground out of 1,Carpet Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,3
3846,2022-07-05,1,9000,890,4 out of 5,Carpet Area,Ameenpur,Hyderabad,Furnished,Bachelors,1,Contact Owner,2
1532,2022-07-05,1,12000,400,3 out of 3,Carpet Area,"Pai Layout-Hulimavu, Hulimavu",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2153,2022-07-05,1,9500,400,2 out of 4,Super Area,"Maidan Garhi, Chhattarpur",Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2287,2022-07-05,2,10000,670,2 out of 4,Super Area,Ram Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2549,2022-07-06,2,20000,800,13 out of 17,Carpet Area,Vadapalani,Chennai,Furnished,Family,2,Contact Agent,2
2534,2022-07-06,3,34000,2120,9 out of 18,Super Area,Siruseri,Chennai,Furnished,Bachelors/Family,3,Contact Owner,2
2543,2022-07-06,2,13500,1210,14 out of 29,Super Area,"Padur, Old Mahabalipuram Road",Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
3102,2022-07-06,2,20000,750,1 out of 5,Carpet Area,Velachery,Chennai,Furnished,Family,2,Contact Owner,2
3103,2022-07-06,2,9000,950,2 out of 3,Super Area,"Kattupakkam, PH Road",Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
2297,2022-07-06,1,15000,250,Ground out of 4,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Furnished,Bachelors,1,Contact Agent,1
3788,2022-07-06,3,15000,2000,Ground out of 2,Super Area,Thumukunta,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,2
2558,2022-07-06,2,9000,575,1 out of 2,Carpet Area,"Mappedu, Selaiyur",Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
885,2022-07-06,2,45000,750,2 out of 8,Super Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner,3
1065,2022-07-06,2,45000,670,17 out of 22,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,2
982,2022-07-06,2,49500,650,5 out of 16,Carpet Area,Juhu Versova Link Road,Mumbai,Unfurnished,Family,2,Contact Agent,3
3094,2022-07-06,2,18000,900,1 out of 4,Carpet Area,Medavakkam,Chennai,Furnished,Family,2,Contact Agent,2
3789,2022-07-06,2,20000,1000,1 out of 1,Super Area,"Bolarum, Medchal Road",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,1
3924,2022-07-06,3,42000,2000,4 out of 17,Carpet Area,"Financial District, Nanakram Guda",Hyderabad,Furnished,Family,3,Contact Agent,3
925,2022-07-06,1,35000,480,1 out of 7,Carpet Area,Seven Bungalows,Mumbai,Furnished,Family,2,Contact Agent,2
3210,2022-07-06,2,13000,900,1 out of 3,Super Area,Semmancheri,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
2517,2022-07-06,2,12000,875,2 out of 2,Super Area,Madipakkam,Chennai,Furnished,Bachelors,2,Contact Owner,1
1021,2022-07-06,2,45000,650,10 out of 18,Carpet Area,Chandivali,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
3176,2022-07-06,2,10000,800,2 out of 3,Super Area,Madipakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
1019,2022-07-06,2,50000,600,9 out of 11,Carpet Area,"K Raheja Maple Leaf, Powai",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
3830,2022-07-06,3,10000,1100,1 out of 4,Carpet Area,"Manikonda, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,1,Contact Agent,2
4117,2022-07-06,2,25000,1040,2 out of 4,Carpet Area,Gachibowli,Hyderabad,Unfurnished,Bachelors,2,Contact Owner,2
3816,2022-07-06,1,14000,540,1 out of 5,Carpet Area,Kondapur,Hyderabad,Unfurnished,Bachelors,1,Contact Agent,3
1007,2022-07-06,2,45000,771,20 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,3
2343,2022-07-06,2,32000,900,Ground out of 4,Carpet Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent,2
3907,2022-07-06,3,8000,1100,2 out of 5,Carpet Area,Jubilee Hills,Hyderabad,Furnished,Bachelors/Family,1,Contact Agent,3
3156,2022-07-06,1,4000,300,1 out of 2,Super Area,Tiruvottiyur,Chennai,Unfurnished,Bachelors,1,Contact Owner,1
3909,2022-07-06,3,9000,1100,1 out of 4,Carpet Area,"Manikonda, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,1,Contact Agent,3
2581,2022-07-06,3,40000,1550,1 out of 3,Carpet Area,Mandaiveli,Chennai,Unfurnished,Bachelors,3,Contact Agent,3
3202,2022-07-06,2,14000,780,2 out of 2,Super Area,Pallikaranai,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
3198,2022-07-06,3,24000,2100,Ground out of 2,Super Area,Nanmangalam,Chennai,Furnished,Bachelors/Family,4,Contact Owner,2
2448,2022-07-06,2,15000,1100,1 out of 2,Super Area,Medavakkam,Chennai,Furnished,Bachelors,2,Contact Owner,1
3130,2022-07-06,3,26000,1400,11 out of 15,Super Area,"Chromepet, GST Road",Chennai,Furnished,Bachelors/Family,3,Contact Owner,2
2456,2022-07-06,2,10500,1080,1 out of 2,Super Area,Ponmar,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
932,2022-07-06,1,30000,360,4 out of 20,Carpet Area,"Antop Hill, Wadala",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,2
531,2022-07-06,2,35000,650,6 out of 7,Carpet Area,Charkop,Mumbai,Unfurnished,Family,2,Contact Agent,2
2513,2022-07-06,2,9000,800,1 out of 3,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
3792,2022-07-06,2,10000,1000,1 out of 3,Super Area,Toli Chowki,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
926,2022-07-06,1,26000,434,5 out of 22,Carpet Area,"Samarth Srishti, Bhandup West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,2
2509,2022-07-06,2,30000,1200,3 out of 3,Carpet Area,Mandaiveli,Chennai,Furnished,Bachelors/Family,2,Contact Agent,2
3197,2022-07-06,1,6000,550,Ground out of 2,Super Area,"Vimalapuram, Manali",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
3539,2022-07-06,3,52000,2800,16 out of 19,Carpet Area,"Kokapet, Outer Ring Road",Hyderabad,Furnished,Family,3,Contact Agent,3
3811,2022-07-06,2,9000,160,Ground out of 2,Super Area,Nagaram,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3
3808,2022-07-06,3,46000,2235,Ground out of 10,Carpet Area,Gachibowli,Hyderabad,Unfurnished,Family,5,Contact Agent,3
970,2022-07-06,2,43000,771,15 out of 37,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,3
1043,2022-07-06,1,22000,450,4 out of 7,Carpet Area,Charkop Sector 6,Mumbai,Furnished,Family,2,Contact Agent,2
